Initial Mass (g),Final Mass (g),Height (mm),Voltage Drop,Supply Current
-10.25,-10.22,0.5,-9.5,10
-10.31,-10.11,0.5,-18.9,20
-8.69,-8.29,0.5,-24.2,25.5
,,,,
-34.21,-34.17,1,9.4,10
-3.82,-3.64,1,19,20
-3.86,-3.43,1,24.2,25.5
,,,,
-1.71,-1.68,1.5,9.4,10
-1.72,-1.47,1.5,18.9,20
-1.61,-1.26,1.5,24.2,25.5
,,,,
-6.83,-6.76,2,9.5,10
-6.81,-6.58,2,19,20
-6.71,-6.21,2,24.2,25.5
,,,,
-11.2,-11.14,2.5,9.5,10
-11.23,-10.98,2.5,19.1,20
-11.1,-10.63,2.5,24.3,25.5
,,,,
-6.59,-6.56,0.5,9.4,10
-6.61,-6.41,0.5,18.9,20
-6.24,-5.91,0.5,24.2,25.5
,,,,
-7,-6.97,1,9.5,10
-7.05,-6.66,1,19,20
-4.52,-3.88,1,24.2,25.5
,,,,
-5.29,-5.22,1.5,9.4,10
0.3,0.52,1.5,19,20
0.34,0.74,1.5,24.2,25.5
,,,,
-6.74,-6.64,2,9.5,10
-6.67,-6.35,2,18.9,20
-6.57,-6.07,2,24.1,25.5
,,,,
-38.52,-38.45,2.5,9.5,10
-38.51,-38.21,2.5,18.9,20
-38.4,-37.97,2.5,24.1,25.5
,,,,
-37.67,-37.64,0.5,4.6,5
-37.64,-37.57,0.5,11.3,12
-37.72,-37.37,0.5,21.7,23
,,,,
-33.65,-33.62,1,4.7,5
-33.62,-33.53,1,11.3,12
-33.66,-33.27,1,21.7,23
,,,,
-14.38,-14.35,1.5,4.7,5
-14.38,-14.31,1.5,11.3,12
-14.37,-14.02,1.5,21.7,23
,,,,
-26.45,-26.42,2,4.7,5
-26.42,-26.37,2,11.3,12
-26.48,-26.09,2,21.8,23
,,,,
-26.62,-26.61,2.5,4.7,5
-26.61,-26.53,2.5,11.3,12
-26.62,-26.23,2.5,21.7,23